work_id,author_id
https://openalex.org/W4210647064,https://openalex.org/A5048632251
https://openalex.org/W3215723935,https://openalex.org/A5048632251
https://openalex.org/W2784401774,https://openalex.org/A5048632251
https://openalex.org/W2210614275,https://openalex.org/A5052898875
https://openalex.org/W2756237186,https://openalex.org/A5052898875
https://openalex.org/W2991026430,https://openalex.org/A5052898875
https://openalex.org/W3110825556,https://openalex.org/A5052898875
https://openalex.org/W4289865886,https://openalex.org/A5052898875
https://openalex.org/W4312466229,https://openalex.org/A5052898875
https://openalex.org/W2892743407,https://openalex.org/A5052898875
https://openalex.org/W3115202716,https://openalex.org/A5052898875
https://openalex.org/W2745783757,https://openalex.org/A5052898875
https://openalex.org/W2905213520,https://openalex.org/A5052898875
https://openalex.org/W3008442525,https://openalex.org/A5052898875
https://openalex.org/W3210910700,https://openalex.org/A5052898875
https://openalex.org/W4283749398,https://openalex.org/A5052898875
https://openalex.org/W2954713725,https://openalex.org/A5052898875
https://openalex.org/W2990772108,https://openalex.org/A5052898875
https://openalex.org/W2893271562,https://openalex.org/A5052898875
https://openalex.org/W2894512895,https://openalex.org/A5052898875
https://openalex.org/W2991347807,https://openalex.org/A5052898875
https://openalex.org/W2594546367,https://openalex.org/A5052898875
https://openalex.org/W2747071502,https://openalex.org/A5052898875
https://openalex.org/W2944203957,https://openalex.org/A5052898875
https://openalex.org/W3031605201,https://openalex.org/A5052898875
https://openalex.org/W4255558915,https://openalex.org/A5052898875
https://openalex.org/W4206142324,https://openalex.org/A5052898875
https://openalex.org/W3029244879,https://openalex.org/A5052898875
https://openalex.org/W4312392685,https://openalex.org/A5077761860
https://openalex.org/W4210473407,https://openalex.org/A5077761860
https://openalex.org/W3171570097,https://openalex.org/A5077761860
https://openalex.org/W4379472563,https://openalex.org/A5077761860
https://openalex.org/W4392410755,https://openalex.org/A5077761860
https://openalex.org/W4293114281,https://openalex.org/A5077761860
https://openalex.org/W4409261314,https://openalex.org/A5077761860
https://openalex.org/W4307328803,https://openalex.org/A5077761860
https://openalex.org/W4210682991,https://openalex.org/A5077761860
https://openalex.org/W3016959255,https://openalex.org/A5077761860
https://openalex.org/W4210351884,https://openalex.org/A5077761860
https://openalex.org/W4313788431,https://openalex.org/A5077761860
https://openalex.org/W3210017751,https://openalex.org/A5077761860
https://openalex.org/W4308353984,https://openalex.org/A5077761860
https://openalex.org/W4407111430,https://openalex.org/A5077761860
https://openalex.org/W4410355248,https://openalex.org/A5077761860
https://openalex.org/W3131470764,https://openalex.org/A5077761860
https://openalex.org/W3199525501,https://openalex.org/A5077761860
https://openalex.org/W4308339346,https://openalex.org/A5077761860
https://openalex.org/W4308338334,https://openalex.org/A5077761860
https://openalex.org/W4407080491,https://openalex.org/A5077761860
https://openalex.org/W4293227785,https://openalex.org/A5077761860
https://openalex.org/W4308340908,https://openalex.org/A5077761860
https://openalex.org/W4200235619,https://openalex.org/A5077761860
https://openalex.org/W4388408312,https://openalex.org/A5077761860
https://openalex.org/W3210890911,https://openalex.org/A5030771199
